exp_path,dist_m,curr_mA,regime_id,n_samples,skip,lag,phase_rad,p_tx,p_rx_raw,p_rx_sync,p_rx_norm,factor_ref,jb_p_real_resid,jb_p_imag_resid,evm_pct,evm_dB,snr_dB,noise_power,var_I,var_Q,log_var_I,log_var_Q,skew_I,skew_Q,kurt_excess_I,kurt_excess_Q,gain_dB
dist_0.8m/curr_100mA/full_square_0.8m_100mA_001_20260211_153055,0.8,100.0,dist_0p8m__curr_100mA,899511,100000,489,1.232507348060608,0.6672516465187073,0.03108302317559719,0.031082553789019585,0.5849162340164185,4.337989361460874,0.7227161775792909,0.13832910695729292,17.757038,-15.01259,15.01259,0.0210392717,0.0099828707,0.009949484,-4.606885,-4.610235,-0.001077,-0.001255,-0.036382,-0.034341,-0.57196
dist_0.8m/curr_200mA/full_square_0.8m_200mA_001_20260211_153502,0.8,200.0,dist_0p8m__curr_200mA,899529,100000,471,-1.1364823579788208,0.6667376160621643,0.03479095175862312,0.034791845828294754,0.6547179222106934,4.337989361460874,0.9780301830594686,0.8253872885115183,16.059954,-15.885114,15.885114,0.0171966385,0.0080679785,0.0080425367,-4.819852,-4.823011,0.002653,-0.001279,-0.024715,-0.025043,-0.079007
dist_0.8m/curr_300mA/full_square_0.8m_300mA_001_20260211_153908,0.8,300.0,dist_0p8m__curr_300mA,899529,100000,471,-0.4804307520389557,0.6663316488265991,0.03540973737835884,0.03540898486971855,0.6663318276405334,4.337989361460874,0.5199822062482713,0.4751247583200069,16.284653,-15.76443,15.76443,0.0176704433,0.0082617671,0.0082843529,-4.796117,-4.793387,0.004957,0.000579,-0.014661,-0.023415,1e-06
dist_0.8m/curr_400mA/full_square_0.8m_400mA_001_20260211_154314,0.8,400.0,dist_0p8m__curr_400mA,899537,100000,463,-2.5171244144439697,0.6661453247070312,0.03165211156010628,0.03165303170681,0.5956516861915588,4.337989361460874,0.14356703268072954,0.16084962883428636,17.356662,-15.210676,15.210676,0.0200678762,0.0094942794,0.0094686406,-4.657066,-4.65977,0.0034,-0.001867,-0.047413,-0.045941,-0.485766
dist_0.8m/curr_500mA/full_square_0.8m_500mA_001_20260211_154720,0.8,500.0,dist_0p8m__curr_500mA,899502,100000,498,-2.9770755767822266,0.6671451330184937,0.02722468040883541,0.02722521871328354,0.5123281478881836,4.337989361460874,7.045687362250353e-08,2.0022791553129974e-08,20.669465,-13.693415,13.693415,0.0285022259,0.0136763435,0.0137323734,-4.292088,-4.287999,0.001808,-0.000675,-0.261242,-0.254945,-1.146721
dist_0.8m/curr_600mA/full_square_0.8m_600mA_001_20260211_155126,0.8,600.0,dist_0p8m__curr_600mA,899501,100000,499,-0.0760718509554863,0.6666897535324097,0.02521810680627823,0.02521851658821106,0.4745658338069916,4.337989361460874,3.031037452787799e-15,6.251021924511822e-17,23.058626,-12.743331,12.743331,0.0354479104,0.0171417796,0.0171639725,-4.066237,-4.064943,-0.001865,0.000374,-0.386757,-0.381657,-1.476273
dist_0.8m/curr_700mA/full_square_0.8m_700mA_001_20260211_155532,0.8,700.0,dist_0p8m__curr_700mA,899508,100000,492,1.4804201126098633,0.6667514443397522,0.022937601432204247,0.022937295958399773,0.4316374659538269,4.337989361460874,8.398166073020472e-27,1.715196337220617e-27,26.089908,-11.670549,11.670549,0.0453846566,0.0221643382,0.0221241112,-3.809271,-3.811087,0.00064,0.002496,-0.535993,-0.537987,-1.888448
dist_0.8m/curr_800mA/full_square_0.8m_800mA_001_20260211_155937,0.8,800.0,dist_0p8m__curr_800mA,899507,100000,493,-0.898658812046051,0.6667391061782837,0.021322259679436684,0.021321894600987434,0.40123867988586426,4.337989361460874,8.012484437425592e-37,5.484422012969645e-37,28.517949,-10.897634,10.897634,0.0542241186,0.0265424377,0.0265721715,-3.62901,-3.627891,0.003,0.000827,-0.624026,-0.619787,-2.205531
dist_0.8m/curr_900mA/full_square_0.8m_900mA_001_20260211_160343,0.8,900.0,dist_0p8m__curr_900mA,899515,100000,485,3.0792694091796875,0.6670897006988525,0.020329199731349945,0.0203297957777977,0.38256925344467163,4.337989361460874,2.036440718085233e-42,8.760855942767958e-42,30.260647,-10.382436,10.382436,0.0610858537,0.0299931723,0.0299524251,-3.506786,-3.508145,-0.000195,-0.001292,-0.666755,-0.67136,-2.414742
dist_1.0m/curr_100mA/full_square_1m_100mA_001_20260210_153913,1.0,100.0,dist_1p0m__curr_100mA,899501,100000,499,2.3639986515045166,0.667091965675354,0.018617255613207817,0.018617626279592514,0.3503492474555969,4.337989361460874,9.291849618357086e-39,4.809072551027421e-44,33.524897,-9.492651,9.492651,0.0749757141,0.0369310617,0.0369266615,-3.298702,-3.298821,-0.002474,0.00152,-0.688707,-0.69469,-2.796845
dist_1.0m/curr_200mA/full_square_1m_200mA_001_20260210_154319,1.0,200.0,dist_1p0m__curr_200mA,899502,100000,498,2.5207161903381348,0.6663863658905029,0.02089470438659191,0.020895887166261673,0.3932221531867981,4.337989361460874,1.4601178407405058e-36,2.9565161613472287e-34,29.520486,-10.59753,10.59753,0.0580728464,0.028522298,0.028466523,-3.557069,-3.559027,0.000116,0.001811,-0.622697,-0.627198,-2.290881
dist_1.0m/curr_300mA/full_square_1m_300mA_001_20260210_154725,1.0,300.0,dist_1p0m__curr_300mA,899518,100000,482,0.9608492255210876,0.6662975549697876,0.020311124622821808,0.02031119540333748,0.3822191655635834,4.337989361460874,4.1022220382758175e-45,4.314712519683965e-37,30.556629,-10.297891,10.297891,0.0622127056,0.030572824,0.0305264915,-3.487644,-3.48916,-0.001032,0.002964,-0.654616,-0.65528,-2.413558
dist_1.0m/curr_400mA/full_square_1m_400mA_001_20260210_155131,1.0,400.0,dist_1p0m__curr_400mA,899525,100000,475,-2.28129243850708,0.6663486957550049,0.01994074136018753,0.019941428676247597,0.37526077032089233,4.337989361460874,6.688381689127238e-39,4.156634382776547e-40,31.359442,-10.072633,10.072633,0.0655297041,0.0322280278,0.0322149117,-3.434919,-3.435326,0.000381,-0.001253,-0.661845,-0.665585,-2.493684
dist_1.0m/curr_500mA/full_square_1m_500mA_001_20260210_155537,1.0,500.0,dist_1p0m__curr_500mA,899496,100000,504,-2.3214027881622314,0.666659951210022,0.017636630684137344,0.017637306824326515,0.33190134167671204,4.337989361460874,1.677112942516119e-52,5.072251320224396e-54,35.158112,-9.079489,9.079489,0.0824053586,0.0406545701,0.0406598507,-3.202644,-3.202514,-0.001791,-0.000536,-0.774429,-0.773962,-3.028954
dist_1.0m/curr_600mA/full_square_1m_600mA_001_20260210_155942,1.0,600.0,dist_1p0m__curr_600mA,899501,100000,499,-0.47123661637306213,0.667030394077301,0.015095041133463383,0.0150950001552701,0.2840600311756134,4.337989361460874,4.525586333740141e-75,3.6031031823894678e-68,39.864298,-7.988318,7.988318,0.1060019508,0.0524480037,0.0524078629,-2.947933,-2.948699,-0.000978,0.000802,-0.880687,-0.881843,-3.707355
dist_1.0m/curr_700mA/full_square_1m_700mA_001_20260210_160348,1.0,700.0,dist_1p0m__curr_700mA,899538,100000,462,0.6873663663864136,0.6668118834495544,0.013655386865139008,0.013654857873916626,0.2569592595100403,4.337989361460874,7.604076206355653e-80,1.739679057291427e-79,42.791779,-7.372793,7.372793,0.12210235,0.0604656521,0.0605228474,-2.80568,-2.804734,0.00136,-0.00268,-0.92483,-0.925083,-4.141391
dist_1.0m/curr_800mA/full_square_1m_800mA_001_20260210_160754,1.0,800.0,dist_1p0m__curr_800mA,899482,100000,518,-2.575244426727295,0.6672892570495605,0.012699063867330551,0.012699156999588013,0.23897463083267212,4.337989361460874,3.721094496247226e-84,1.758391349805239e-80,44.966937,-6.942134,6.942134,0.1349275857,0.0669086374,0.0669073532,-2.704427,-2.704446,0.002272,0.001186,-0.950897,-0.951191,-4.459623
dist_1.0m/curr_900mA/full_square_1m_900mA_001_20260210_161159,1.0,900.0,dist_1p0m__curr_900mA,899513,100000,487,-2.4586567878723145,0.666377604007721,0.011641100980341434,0.011640992015600204,0.21906186640262604,4.337989361460874,3.163756317737149e-83,1.8955480850183446e-91,47.418733,-6.481001,6.481001,0.1498374194,0.0743942442,0.0742874647,-2.598377,-2.599813,-0.002071,-0.000282,-0.971292,-0.972846,-4.831536
dist_1.5m/curr_100mA/full_square_1.5m_100mA_001_20260210_181711,1.5,100.0,dist_1p5m__curr_100mA,899503,100000,497,2.7221579551696777,0.6669321060180664,0.004356942139565945,0.0043569873087108135,0.08199044317007065,4.337989361460874,1.591272055190409e-104,9.307759075533148e-110,70.245733,-3.067601,3.067601,0.3290951848,0.1640982892,0.1639339433,-1.80729,-1.808292,0.002204,-0.002193,-1.083655,-1.085262,-9.103184
dist_1.5m/curr_200mA/full_square_1.5m_200mA_001_20260210_182117,1.5,200.0,dist_1p5m__curr_200mA,899477,100000,523,0.6269429922103882,0.6672626733779907,0.005008303094655275,0.00500829890370369,0.09424690157175064,4.337989361460874,2.674693803117854e-111,2.225428033512105e-107,67.615835,-3.399032,3.399032,0.3050659001,0.1521227687,0.1518794291,-1.883067,-1.884668,0.002899,1.7e-05,-1.084191,-1.084161,-8.500297
dist_1.5m/curr_300mA/full_square_1.5m_300mA_001_20260210_182523,1.5,300.0,dist_1p5m__curr_300mA,899504,100000,496,2.471362352371216,0.666544497013092,0.004915787372738123,0.004915672820061445,0.09250388294458389,4.337989361460874,1.5887520321735682e-104,9.811751834247291e-110,68.107317,-3.336124,3.336124,0.3091837764,0.1540102924,0.1541153381,-1.870736,-1.870054,0.00413,0.000238,-1.083455,-1.081552,-8.576692
dist_1.5m/curr_400mA/full_square_1.5m_400mA_001_20260210_182929,1.5,400.0,dist_1p5m__curr_400mA,899476,100000,524,2.3509206771850586,0.6658709645271301,0.004731245804578066,0.004731647204607725,0.0890408605337143,4.337989361460874,3.098275866617642e-107,6.642549580572472e-107,68.980359,-3.225491,3.225491,0.3168407083,0.157811523,0.1579598192,-1.846354,-1.845415,0.001481,-0.001284,-1.080343,-1.081276,-8.738007
dist_1.5m/curr_500mA/full_square_1.5m_500mA_001_20260210_183335,1.5,500.0,dist_1p5m__curr_500mA,899511,100000,489,-1.7972404956817627,0.6661744713783264,0.004481508396565914,0.00448164576664567,0.08433627337217331,4.337989361460874,2.8955127260289126e-108,2.546710407969643e-105,69.991378,-3.099109,3.099109,0.3263450861,0.1627294664,0.1626093874,-1.815666,-1.816404,-0.003141,0.003141,-1.088099,-1.085804,-8.975736
dist_1.5m/curr_600mA/full_square_1.5m_600mA_001_20260210_183741,1.5,600.0,dist_1p5m__curr_600mA,899511,100000,489,2.733334541320801,0.6664150953292847,0.004212874453514814,0.00421281810849905,0.0792774111032486,4.337989361460874,1.5473416746928516e-112,1.6232820308277708e-108,71.264975,-2.942477,2.942477,0.3384520113,0.168765637,0.1685910326,-1.779244,-1.780279,-0.000197,0.001789,-1.0894,-1.089489,-9.245954
dist_1.5m/curr_700mA/full_square_1.5m_700mA_001_20260210_184147,1.5,700.0,dist_1p5m__curr_700mA,899512,100000,488,2.9261763095855713,0.6670703887939453,0.003966898657381535,0.003967057913541794,0.07465269416570663,4.337989361460874,2.544636403900676e-105,2.234216684914624e-110,72.399175,-2.805328,2.805328,0.3496543169,0.1743284509,0.1742359311,-1.746814,-1.747345,-0.000918,-0.000137,-1.093159,-1.092394,-9.511262
dist_1.5m/curr_800mA/full_square_1.5m_800mA_001_20260210_184553,1.5,800.0,dist_1p5m__curr_800mA,899513,100000,487,0.42063865065574646,0.6664220690727234,0.0037332710344344378,0.0037333357613533735,0.07025449723005295,4.337989361460874,2.558644787310808e-108,3.2397680509697737e-111,73.604173,-2.661951,2.661951,0.3610391021,0.179969522,0.1799867256,-1.714968,-1.714872,-0.002646,0.00044,-1.092379,-1.095243,-9.770752
dist_1.5m/curr_900mA/full_square_1.5m_900mA_001_20260210_184959,1.5,900.0,dist_1p5m__curr_900mA,899507,100000,493,-2.834496259689331,0.6660812497138977,0.003536125412210822,0.0035361978225409985,0.06654471158981323,4.337989361460874,5.252772332719004e-110,1.3171389447787326e-107,74.615543,-2.543414,2.543414,0.3708393574,0.1847717557,0.1849297642,-1.688634,-1.687779,-0.001622,-0.001662,-1.095941,-1.096074,-10.004137
